url,naziv,cijena,lokacija,lat,lng,Kvadrata,Pravih Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija,stanje,balkon,dodatna kvadratura,Namjesten
https://www.olx.ba/artikal/6376884/stan-104m2-novogradnja-vrtovi-sunca/,Stan 104m2 -novogradnja VRTOVI SUNCA,228800,Sarajevo - Centar,43.876366,18.416348,104,104,Trosoban (3),"ul.Karic Midhat-Mitke 4, Vrtovi Sunca",Novogradnja,Jugoistok,novogradnja,0,0,no info
https://www.olx.ba/artikal/3224151/stan-mojmilo/,Stan Mojmilo,138000,"Sarajevo, Novi Grad",43.83787,18.345172,84,84,cetverosoban (4),Olimpijska,1980-1989,Istok,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/29953019/stan-alipasino-polje-79-m2/,Stan Alipasino polje 79 m2,100000,"Sarajevo, Novi Grad",43.843349,18.347228,79,79,Trosoban (3),Nerkeza Smailagica broj 6,no info,no info,no info,0,0,Polunamjesten
https://www.olx.ba/artikal/28312597/novogradnja-dijamant-4-s-stan-j-z-orij-124m2-otoka/,"NOVOGRADNJA Dijamant 4-s. stan J-Z orij. 124m2, Otoka",266449,"Sarajevo, Novi Grad",43.851011,18.362234,124,124,cetverosoban (4),Dzemala Bijedica,Novogradnja,Jug,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/28330346/novogradnja-dijamant-cetverosoban-stan-77m2-otoka/,"NOVOGRADNJA Dijamant cetverosoban stan 77m2, Otoka",178135,"Sarajevo, Novi Grad",43.851088,18.362277,77,77,cetverosoban (4),Dzemala Bijedica,Novogradnja,Zapad,novogradnja,0,0,Namjesten
https://www.olx.ba/artikal/30399143/hrasnica-stan-u-hrasnici/,"Hrasnica, stan u Hrasnici",84000,Ilidza,43.799693,18.309698,73,73,Trosoban (3),no info,1990-1999,Sjeverozapad,no info,0,0,Polunamjesten
https://www.olx.ba/artikal/30397258/trosoban-stan-breka-sarajevo/,Trosoban stan Breka Sarajevo,220000,Sarajevo - Centar,43.87265,18.418167,79,79,Trosoban (3),Juraja Najtharta br.3,1980-1989,Jug,no info,0,0,Polunamjesten
https://www.olx.ba/artikal/25684487/trosoban-stan-ilidza-luzani/,"Trosoban stan, Ilidza - Luzani",135000,Ilidza,43.829887,18.301629,65,65,Trosoban (3),no info,no info,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30117866/dvosoban-stan-stari-grad-1950km-m2/,Dvosoban Stan Stari Grad (1950km/m2 ),126750,Stari Grad,43.862129,18.429729,65,65,Dvosoban (2),Kecina,no info,no info,no info,0,0,Polunamjesten
https://www.olx.ba/artikal/29050650/dvosoban-stan-antuna-hangija/,Dvosoban stan Antuna Hangija,145000,Sarajevo - Centar,43.862795,18.404944,64,64,Dvosoban (2),Antuna Hangija,1980-1989,Jugozapad,no info,0,0,Nenamjesten
